Rk.,Player,Pitches,Total,Pitch %,PA,AB,BIP,Hits,1B,2B,3B,HR,SO,K%,BB,BB%,Whiffs,Swings,BA,xBA,OBP,xOBP,SLG,xSLG,wOBA,xwOBA,Barrels,BABIP,ISO,Whiff%,EV (MPH),Adj. EV (MPH),LA (°),Dist (ft),Hard Hit%,Barrel/BBE%,Barrel/PA%
1,"Lipcius, Andre",2073,2073,100.0,504,447,340,128,82,23,2,21,109,21.6,53,10.5,293,1004,.286,.236,0.363,.319,.488,.393,0.367,0.314,23,.335,.201,29.2,86.8,90.6,19,166,30.9,6.8,4.6
2,"Avans, Drew",2049,2057,99.6,499,427,297,110,74,21,8,7,132,26.5,68,13.6,263,928,.258,.245,0.361,.351,.393,.373,0.334,0.325,13,.355,.136,28.3,89.3,90.9,13,168,40.1,4.4,2.6
3,"Brito, Juan CLE #10",2003,2006,99.9,509,424,346,106,61,29,0,16,81,15.9,75,14.7,202,895,.250,.223,0.369,.347,.432,.355,0.353,0.317,20,.273,.182,22.6,87.7,91.4,18,159,34.7,5.8,3.9
4,"Meidroth, Chase BOS #11",1981,1981,100.0,455,352,307,104,80,18,0,6,49,10.8,88,19.3,63,595,.295,.245,0.446,.409,.398,.325,0.382,0.343,4,.326,.102,10.6,88.1,91.3,4,143,31.6,1.3,0.9
5,"Garlick, Kyle",1974,1974,100.0,520,452,322,114,66,20,3,25,136,26.2,57,11.0,271,916,.252,.227,0.338,.321,.476,.394,0.35,0.318,30,.300,.223,29.6,88.6,91.7,17,155,39.8,9.3,5.8
6,"Misner, Kameron",1912,1914,99.9,431,366,236,89,49,22,3,15,132,30.6,59,13.7,286,863,.243,.213,0.353,.327,.443,.341,0.347,0.303,13,.335,.199,33.1,88.9,91.3,15,157,37.3,5.5,3.0
7,"Rave, John",1890,1898,99.6,448,389,293,107,59,26,4,18,100,22.3,53,11.8,187,795,.275,.233,0.362,.328,.501,.381,0.37,0.316,25,.324,.226,23.5,87.7,91.2,12,148,34.5,8.5,5.6
8,"Sweeney, Trey DET #20",1887,1887,100.0,483,430,303,115,69,28,3,15,130,26.9,46,9.5,244,870,.267,.239,0.342,.318,.451,.376,0.344,0.308,25,.347,.184,28.0,90.9,92.1,10,161,45.2,8.3,5.2
9,"Taylor, Samad",1886,1910,98.7,431,364,243,87,67,12,1,7,127,29.5,56,13.0,221,778,.239,.211,0.343,.325,.335,.297,0.307,0.288,7,.339,.096,28.4,85.9,90.2,12,155,29.2,2.9,1.6
10,"Baker, Luken",1859,1859,100.0,445,373,271,87,37,18,0,32,109,24.5,63,14.2,206,751,.233,.226,0.342,.338,.539,.442,0.372,0.341,38,.230,.306,27.4,91.2,92.3,18,167,42.4,14.0,8.5
11,"Bastidas, Jesús",1856,1856,100.0,503,439,328,107,58,27,1,21,114,22.7,43,8.5,283,995,.244,.225,0.334,.321,.453,.384,0.342,0.313,22,.280,.210,28.4,87.4,91.1,21,170,36.3,6.7,4.4
12,"Harris, Dustin",1816,1819,99.8,456,395,302,110,81,17,3,9,99,21.7,47,10.3,186,815,.278,.228,0.362,.321,.405,.311,0.338,0.289,8,.345,.127,22.8,83.7,90.0,18,153,22.5,2.6,1.8
13,"Montgomery, Colson MLB #28 / #CWS #2",1805,1805,100.0,438,369,244,76,44,16,3,13,127,29.0,53,12.1,218,804,.206,.213,0.325,.333,.371,.351,0.311,0.31,21,.273,.165,27.1,86.6,91.5,18,145,37.3,8.6,4.8
14,"Whitcomb, Shay HOU #14",1799,1799,100.0,480,413,325,121,75,19,2,25,95,19.8,52,10.8,239,850,.293,.259,0.377,.353,.530,.453,0.387,0.352,28,.320,.237,28.1,89.5,92.6,17,148,42.5,8.6,5.8
15,"Bannon, Rylan",1788,1788,100.0,435,350,247,81,46,18,1,16,105,24.1,78,17.9,245,793,.231,.204,0.377,.358,.426,.332,0.356,0.321,14,.281,.194,30.9,88.4,91.5,15,155,41.3,5.7,3.2
16,"Ritter, Luke",1770,1770,100.0,444,375,246,100,55,20,2,23,130,29.3,56,12.6,272,791,.267,.248,0.378,.363,.515,.475,0.385,0.365,37,.345,.248,34.4,90.8,92.2,10,152,47.6,15.0,8.3
17,"Pratto, Nick",1756,1759,99.8,417,364,243,86,54,17,1,14,125,30.0,48,11.5,248,794,.236,.216,0.324,.307,.404,.331,0.319,0.286,16,.314,.168,31.2,87.5,91.1,18,162,35.4,6.6,3.8
18,"Collins, Isaac",1754,1754,100.0,438,367,284,96,54,26,5,11,87,19.9,59,13.5,141,689,.262,.237,0.372,.355,.450,.372,0.359,0.329,16,.311,.188,20.5,88.1,91.6,15,165,37.3,5.6,3.7
19,"Higgins, P.J.",1743,1743,100.0,447,403,290,104,70,24,0,10,116,26.0,37,8.3,229,847,.258,.221,0.324,.294,.392,.320,0.315,0.275,12,.336,.134,27.0,87.7,90.5,15,160,31.7,4.1,2.7
20,"Mondou, Nate",1741,1748,99.6,434,366,284,97,64,20,8,5,89,20.5,53,12.2,183,857,.265,.238,0.364,.343,.404,.325,0.338,0.305,7,.330,.139,21.4,86.1,90.0,15,173,27.8,2.5,1.6
21,"Jung, Jace MLB #64 / #DET #5",1735,1804,96.2,415,339,252,87,49,23,1,14,93,22.4,67,16.1,193,716,.257,.235,0.377,.362,.454,.411,0.362,0.344,22,.307,.198,27.0,87.5,91.4,17,172,35.3,8.7,5.3
22,"Batten, Matthew",1731,1734,99.8,449,394,306,98,69,22,3,4,96,21.4,42,9.4,166,746,.249,.230,0.323,.310,.350,.296,0.298,0.276,4,.311,.102,22.3,85.6,90.9,16,156,33.0,1.3,0.9
23,"Almora Jr., Albert",1730,1736,99.7,484,437,371,127,79,37,2,9,70,14.5,39,8.1,180,878,.291,.248,0.351,.315,.446,.345,0.346,0.294,8,.326,.156,20.5,86.8,90.8,11,146,32.3,2.2,1.7
24,"Adams, Jordyn",1729,1741,99.3,469,412,289,105,73,21,3,8,128,27.3,46,9.8,266,878,.255,.211,0.332,.294,.379,.307,0.313,0.273,15,.345,.124,30.3,86.5,90.5,10,149,31.5,5.2,3.2
25,"Severino, Yunior MIN #28",1715,1715,100.0,434,367,253,95,63,12,2,18,121,27.9,58,13.4,269,779,.259,.235,0.357,.341,.450,.415,0.35,0.336,26,.328,.191,34.5,90.5,92.3,9,147,45.1,10.3,6.0
26,"Kavadas, Niko LAA #30",1714,1714,100.0,378,303,178,78,37,22,0,19,129,34.1,61,16.1,201,589,.257,.212,0.394,.360,.518,.467,0.392,0.36,32,.371,.261,34.1,91.9,92.2,19,177,53.9,18.0,8.5
27,"Peguero, Liover",1714,1717,99.8,437,389,289,97,63,22,3,9,108,24.7,38,8.7,258,791,.249,.209,0.314,.283,.391,.308,0.306,0.267,11,.314,.141,32.6,88.2,91.5,11,140,36.0,3.8,2.5
28,"Simon, Ronny",1706,1717,99.4,428,375,298,103,65,26,3,9,80,18.7,43,10.0,170,778,.275,.223,0.357,.314,.432,.312,0.345,0.285,13,.325,.157,21.9,89.3,91.7,8,141,39.9,4.4,3.0
29,"Norby, Connor MIA #3",1705,1705,100.0,435,374,255,109,67,24,1,17,123,28.3,53,12.2,260,871,.291,.239,0.382,.337,.497,.407,0.379,0.328,25,.387,.206,29.9,87.6,90.7,15,157,32.9,9.8,5.7
30,"Chaparro, Andrés",1705,1705,100.0,454,401,321,132,81,27,1,23,82,18.1,47,10.4,238,897,.329,.290,0.403,.368,.574,.481,0.417,0.368,29,.366,.244,26.5,89.9,92.5,15,164,45.2,9.0,6.4
31,"Saggese, Thomas STL #4",1705,1708,99.8,449,410,307,102,63,19,3,17,106,23.6,26,5.8,233,916,.249,.236,0.307,.296,.434,.380,0.321,0.297,17,.293,.185,25.4,87.7,90.8,17,163,36.8,5.5,3.8
32,"Fabian, Sandro",1701,1701,100.0,446,397,341,109,66,26,2,15,58,13.0,41,9.2,151,809,.275,.275,0.35,.351,.463,.404,0.352,0.334,17,.288,.189,18.7,86.4,91.8,14,153,33.7,5.0,3.8
33,"Tena, José",1693,1704,99.4,437,400,286,112,71,21,2,18,115,26.3,34,7.8,259,871,.280,.251,0.339,.312,.477,.424,0.352,0.321,23,.351,.198,29.7,91.1,92.2,6,152,50.0,8.0,5.3
34,"Nuñez, Malcom",1691,1691,100.0,413,363,294,95,67,17,0,11,80,19.4,35,8.5,180,738,.262,.259,0.324,.327,.399,.385,0.314,0.316,16,.297,.138,24.4,87.6,91.4,11,140,40.5,5.4,3.9
35,"Baker, Darren",1690,1700,99.4,436,394,314,111,90,19,2,0,82,18.8,40,9.2,146,744,.282,.257,0.346,.327,.340,.313,0.307,0.29,1,.354,.058,19.6,86.1,90.2,2,140,28.3,0.3,0.2
36,"Crim, Blaine",1683,1683,100.0,453,387,310,103,68,21,2,12,80,17.7,57,12.6,191,767,.266,.260,0.366,.363,.424,.407,0.348,0.343,22,.305,.158,24.9,89.3,92.1,15,161,39.7,7.1,4.9
37,"Bigbie, Justice DET #23",1681,1681,100.0,441,382,300,94,65,23,2,4,86,19.5,50,11.3,196,770,.246,.251,0.338,.345,.348,.383,0.307,0.325,16,.304,.102,25.5,89.4,91.6,5,155,41.3,5.3,3.6
38,"Koperniak, Matt",1673,1673,100.0,417,378,307,117,75,24,2,16,73,17.5,35,8.4,190,809,.310,.257,0.369,.322,.511,.412,0.378,0.321,21,.347,.201,23.5,88.8,91.8,11,150,43.6,6.8,5.0
39,"Gentry, Tyler KC #15",1672,1678,99.6,398,349,232,88,53,22,1,12,117,29.4,46,11.6,209,698,.252,.195,0.344,.295,.424,.315,0.337,0.276,18,.345,.172,29.9,88.1,91.0,9,141,37.1,7.8,4.5
40,"Del Castillo, Adrian AZ #14",1671,1672,99.9,444,392,318,124,61,36,3,24,75,16.9,47,10.6,179,769,.316,.292,0.394,.373,.607,.533,0.423,0.388,37,.340,.291,23.3,90.7,92.5,17,179,47.8,11.6,8.3
41,"Keirsey Jr., DaShawn",1666,1667,99.9,407,354,264,97,63,18,4,12,96,23.6,43,10.6,196,774,.274,.228,0.354,.319,.449,.323,0.348,0.293,9,.337,.175,25.3,87.5,90.6,12,159,36.4,3.4,2.2
42,"Caissie, Owen MLB #36 / #CHC #3",1663,1663,100.0,425,368,248,99,62,22,2,13,122,28.7,52,12.2,255,800,.269,.242,0.362,.339,.446,.392,0.353,0.325,21,.366,.177,31.9,89.4,91.6,14,147,41.9,8.5,4.9
43,"Johnston, Troy",1661,1664,99.8,481,436,353,120,80,26,4,10,85,17.7,33,6.9,200,896,.275,.267,0.339,.332,.422,.393,0.332,0.32,16,.321,.147,22.3,87.1,91.0,10,154,33.1,4.5,3.3
44,"Ornelas, Tirso SD #18",1657,1659,99.9,420,370,304,113,73,20,2,18,70,16.7,43,10.2,173,808,.305,.262,0.379,.342,.516,.409,0.384,0.331,19,.332,.211,21.4,87.8,91.7,10,152,38.5,6.3,4.5
45,"Vosler, Jason",1655,1655,100.0,425,382,288,113,66,21,3,23,97,22.8,33,7.8,202,824,.296,.266,0.358,.333,.547,.454,0.385,0.34,26,.340,.251,24.5,88.9,91.5,19,169,37.8,9.0,6.1
