Rk.,Player,Pitches,Total,Pitch %,PA,AB,BIP,Hits,1B,2B,3B,HR,SO,K%,BB,BB%,Whiffs,Swings,BA,xBA,OBP,xOBP,SLG,xSLG,wOBA,xwOBA,Barrels,BABIP,ISO,Whiff%,EV (MPH),Adj. EV (MPH),LA (°),Dist (ft),Hard Hit%,Barrel/BBE%,Barrel/PA%
1,"Ritter, Luke",1770,1770,100.0,444,375,246,100,55,20,2,23,130,29.3,56,12.6,272,791,0.267,0.248,0.378,0.363,0.515,0.475,0.385,0.365,37,0.345,0.248,34.4,90.8,92.2,10,152,47.6,15.0,8.3
2,"Acuña, Luisangel NYM #12",1644,1649,99.7,477,444,370,119,89,19,5,6,76,15.9,29,6.1,182,848,0.268,0.235,0.314,0.285,0.374,0.325,0.302,0.272,13,0.31,0.106,21.5,88.2,91.5,5,128,36.2,3.5,2.7
3,"Houck, Colin NYM #21",1391,1391,100.0,357,313,181,66,44,12,5,5,135,37.8,35,9.8,221,585,0.211,0.18,0.3,0.274,0.329,0.268,0.281,0.251,10,0.347,0.118,37.8,87.4,90.9,16,155,32.0,5.5,2.8
4,"Cuevas, Yohairo",1391,1391,100.0,352,300,209,58,39,17,1,1,92,26.1,47,13.4,189,632,0.193,0.187,0.31,0.305,0.267,0.279,0.269,0.271,7,0.274,0.073,29.9,87.2,91.0,12,146,35.4,3.3,2.0
5,"Bannon, Rylan",1379,1788,77.1,336,271,196,69,39,14,1,15,77,22.9,59,17.6,187,622,0.255,0.22,0.393,0.368,0.48,0.362,0.38,0.335,13,0.298,0.225,30.1,89.1,91.7,15,157,42.3,6.6,3.9
6,"Hernandez, Ronald NYM #24",1275,1276,99.9,331,287,215,83,68,8,2,5,73,22.1,39,11.8,160,602,0.289,0.248,0.381,0.346,0.383,0.353,0.342,0.317,7,0.371,0.094,26.6,86.4,91.0,10,130,34.4,3.3,2.1
7,"Baro, Boston NYM #16",1245,1245,100.0,320,279,229,81,59,15,4,3,53,16.6,36,11.3,100,511,0.29,0.262,0.372,0.349,0.405,0.354,0.342,0.316,6,0.345,0.115,19.6,85.2,90.1,9,158,21.4,2.6,1.9
8,"Sánchez, Yolmer",1176,1179,99.7,280,238,179,45,26,14,0,5,60,21.4,35,12.5,146,527,0.189,0.222,0.307,0.335,0.311,0.328,0.283,0.302,7,0.23,0.122,27.7,87.4,90.6,18,163,31.3,3.9,2.5
9,"Brosseau, Mike",1121,1250,89.7,302,258,204,74,54,8,0,12,56,18.5,33,10.9,130,522,0.287,0.25,0.384,0.356,0.457,0.398,0.369,0.336,11,0.323,0.171,24.9,88.1,91.1,14,151,38.2,5.4,3.6
10,"Thompson, Trayce",1038,1512,68.7,252,224,163,51,22,13,0,16,65,25.8,23,9.1,146,468,0.228,0.217,0.298,0.292,0.5,0.409,0.337,0.307,20,0.238,0.272,31.2,89.9,92.1,17,154,39.9,12.3,7.9
