Player,Age,Ht.,Wt.,Lvl.,Org,BB/9,K/9,GB%,SwSt%,FIP,BF,G,GS,IP,H,HR,ER,BB,K,GO/AO,ERA,WHIP
Casey Lawrence,36,"6' 0""",180,AAA,SEA,2.8,5.9,38%,10.6%,5.76,613,24,24,137.2,166,30,92,42,90,0.97,6.01,1.51
Michael McGreevy,24,"6' 4""",220,AAA,STL,2.8,7.9,46%,10.1%,3.78,569,24,24,133.0,136,14,61,41,117,0.72,4.13,1.33
Thomas Pannone,30,"6' 0""",209,AAA,NYY,2.5,8.4,-,-,4.14,542,26,26,127.2,136,18,52,35,119,1.05,3.67,1.34
Daniel Lynch IV,27,"6' 6""",200,AAA,KC,2.4,7.2,45%,10.8%,4.1,494,21,21,119.1,117,15,47,32,95,0.78,3.54,1.25
Ryan Gusto,25,"6' 4""",232,AAA,HOU,3.5,8.6,42%,10.1%,3.91,511,24,21,119.0,117,12,55,46,114,1.48,4.16,1.37
Edgar Barclay,26,"5' 10""",200,AAA,NYY,4.7,7.7,30%,15.9%,6.09,540,24,24,117.2,126,26,83,61,100,1.38,6.35,1.59
Jhonathan Diaz,27,"6' 0""",170,AAA,SEA,3.8,9.2,57%,11.1%,3.76,517,22,21,117.1,117,9,52,50,120,0.63,3.99,1.42
Joe Rock,24,"6' 6""",200,AAA,TB,2.4,8.2,42%,15.0%,3.9,513,23,20,116.2,133,14,58,31,106,0.93,4.47,1.41
Chad Patrick,26,"6' 1""",205,AAA,MIL,2.6,8.8,33%,15.2%,3.95,478,22,20,116.1,98,15,39,34,114,1.48,3.02,1.13
Caleb Boushley,30,"6' 3""",190,AAA,MIN,1.6,7.3,38%,7.9%,4.14,489,22,22,116.0,131,18,64,20,94,1.43,4.97,1.3
Carson Seymour,25,"6' 6""",260,AAA,SF,3.9,8.9,54%,9.9%,4.77,510,25,24,114.1,132,18,63,49,113,0.6,4.96,1.58
Adrian Sampson,32,"6' 2""",210,AAA,TEX,2.7,7.7,41%,8.7%,4.65,521,23,23,113.0,142,17,73,34,96,1.25,5.81,1.56
Mike Vasil,24,"6' 5""",225,AAA,NYM,3.3,7.5,40%,9.0%,5.17,504,24,22,112.2,125,19,71,41,94,0.81,5.67,1.47
