,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2024,2024.1,2024.2,2024.3,2024.4,2024.5,2024.6,2024.7,2024.8,2024.9,2024.10,2024.11,2024.12,2024.13,2024.14,2024.15,2024.16
0,Player,Age,Ht.,Wt.,Lvl.,Org,BB/9,K/9,GB%,SwSt%,FIP,BF,G,GS,IP,H,HR,ER,BB,K,GO/AO,ERA,WHIP
1,Casey Lawrence,36,"6' 0""",180,AAA,SEA,2.9,6.0,38%,10.6%,5.71,589,23,23,131.2,160,28,89,42,88,0.97,6.08,1.53
2,Michael McGreevy,24,"6' 4""",220,AAA,STL,2.8,7.8,46%,10.1%,3.87,545,23,23,127.0,132,14,61,39,110,0.72,4.32,1.35
3,Thomas Pannone,30,"6' 0""",209,AAA,NYY,2.5,8.6,-,-,4.18,521,25,25,122.2,131,18,52,34,117,1.08,3.82,1.35
4,Daniel Lynch IV,27,"6' 6""",200,AAA,KC,2.4,7.2,45%,10.8%,4.10,494,21,21,119.1,117,15,47,32,95,0.78,3.54,1.25
5,Ryan Gusto,25,"6' 4""",232,AAA,HOU,3.4,8.7,42%,10.1%,3.81,485,23,20,114.0,109,11,54,43,110,1.47,4.26,1.33
6,Jhonathan Diaz,27,"6' 0""",170,AAA,SEA,3.8,9.0,57%,11.1%,3.83,495,21,20,112.2,112,9,51,47,113,0.63,4.07,1.41
7,Edgar Barclay,26,"5' 10""",200,AAA,NYY,4.6,7.7,30%,15.9%,5.84,515,23,23,112.2,120,23,77,57,96,1.41,6.15,1.57
8,Joe Rock,24,"6' 6""",200,AAA,TB,2.5,8.3,42%,15.0%,3.89,489,22,19,110.2,128,13,57,31,102,0.91,4.64,1.44
9,Karl Kauffmann,27,"6' 2""",200,AAA,COL,5.1,5.4,43%,9.7%,6.87,533,24,24,110.1,156,26,104,63,66,0.96,8.48,1.98
10,Caleb Boushley,30,"6' 3""",190,AAA,MIN,1.3,7.4,38%,7.9%,4.14,461,21,21,110.1,123,18,58,16,91,1.42,4.73,1.26
11,Chad Patrick,26,"6' 1""",205,AAA,MIL,2.8,8.7,33%,15.2%,4.11,456,21,19,110.1,94,15,39,34,106,1.47,3.18,1.16
12,Carson Seymour,25,"6' 6""",260,AAA,SF,3.9,8.9,54%,9.9%,4.79,485,24,23,108.1,126,17,61,47,107,0.61,5.07,1.60
13,Adrian Sampson,32,"6' 2""",210,AAA,TEX,2.9,7.8,41%,8.7%,4.55,499,22,22,107.0,137,15,70,34,93,1.26,5.89,1.60
14,Mike Vasil,24,"6' 5""",225,AAA,NYM,3.3,7.5,40%,9.0%,5.05,477,23,21,106.2,119,17,68,39,89,0.81,5.74,1.48
15,Gordon Graceffo,24,"6' 4""",220,AAA,STL,3.4,7.7,37%,9.3%,4.23,469,22,22,105.2,112,12,51,40,90,1.36,4.34,1.44
16,Randy Dobnak,29,"6' 1""",230,AAA,MIN,3.9,9.4,66%,12.7%,3.78,459,22,20,103.2,104,9,41,45,108,0.57,3.56,1.44
17,David Buchanan,35,"6' 3""",200,AAA,PHI,2.9,6.8,52%,7.8%,4.33,446,22,16,102.2,119,13,55,33,78,0.65,4.82,1.48
18,Dom Hamel,25,"6' 2""",206,AAA,NYM,5.5,9.2,44%,10.6%,5.18,479,22,22,102.1,116,16,74,63,105,1.68,6.51,1.75
19,Jason Alexander,31,"6' 2""",227,AAA,BOS,3.1,8.0,45%,9.6%,3.89,447,22,20,101.2,111,10,53,35,90,0.69,4.69,1.44
20,Gabe Mosser,28,"6' 4""",185,AAA,SD,3.1,7.3,52%,8.4%,4.22,449,22,21,101.0,116,12,65,35,82,1.10,5.79,1.50
21,Carlos Rodriguez,22,"6' 0""",206,AAA,MIL,4.1,9.3,35%,11.6%,4.53,430,20,17,100.2,80,14,53,46,104,1.44,4.74,1.25
22,Michael Mariot,35,"6' 0""",190,AAA,SEA,2.2,7.8,42%,7.6%,4.47,420,22,19,100.2,98,16,59,24,87,2.29,5.27,1.21
23,Thaddeus Ward,27,"6' 3""",211,AAA,WSH,6.7,8.0,49%,7.8%,5.56,458,23,23,100.0,95,12,58,74,89,0.66,5.22,1.69
24,Zach Plesac,29,"6' 3""",220,AAA,LAA,3.0,5.9,34%,9.2%,5.38,433,18,17,99.2,113,19,63,33,65,1.67,5.69,1.46
25,Richard Fitts,24,"6' 3""",230,AAA,BOS,3.2,8.4,38%,11.2%,4.63,430,21,20,99.2,101,16,49,35,93,0.99,4.42,1.36
26,Chayce McDermott,25,"6' 3""",197,AAA,BAL,5.3,12.9,34%,14.9%,3.66,425,21,20,97.0,81,11,42,57,139,1.42,3.90,1.42
