Rk,Name▲,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1.0,Ty Adcock,27.0,2,0,1.0,3.21,13,0,7,0,0,3,14.0,20,7,5,1,7,0,15,0,0,1,68,1.929,12.9,0.6,4.5,9.6,2.14,
2.0,José Buttó,26.0,5,2,0.714,3.05,8,8,0,0,0,0,44.1,36,16,15,4,18,0,38,2,0,2,185,1.218,7.3,0.8,3.7,7.7,2.11,
3.0,Victor Castaneda,25.0,0,0,,33.75,1,0,0,0,0,0,1.1,5,5,5,0,4,0,0,0,0,0,13,6.75,33.8,0.0,27.0,0.0,0.0,
4.0,Jeffrey Colón,24.0,0,0,,22.5,2,0,1,0,0,0,2.0,4,5,5,0,6,0,2,1,0,2,17,5.0,18.0,0.0,27.0,9.0,0.33,
5.0,Jon Duplantier,29.0,3,1,0.75,5.31,16,0,5,0,0,0,20.1,22,12,12,2,22,0,22,2,0,2,102,2.164,9.7,0.9,9.7,9.7,1.0,
6.0,Matt Festa,31.0,1,0,1.0,1.76,11,0,2,0,0,0,15.1,11,3,3,1,3,0,19,1,0,1,59,0.913,6.5,0.6,1.8,11.2,6.33,
7.0,Shintaro Fujinami,30.0,1,1,0.5,7.17,20,0,6,0,0,1,21.1,10,20,17,2,28,0,24,3,1,5,103,1.781,4.2,0.8,11.8,10.1,0.86,
8.0,Matt Gage*,31.0,0,0,,5.73,12,0,7,0,0,5,11.0,13,7,7,1,4,0,15,0,0,1,50,1.545,10.6,0.8,3.3,12.3,3.75,
9.0,Reed Garrett,31.0,0,0,,0.0,2,0,0,0,0,0,3.0,2,0,0,0,1,0,7,0,0,0,12,1.0,6.0,0.0,3.0,21.0,7.0,
10.0,Jordan Geber,24.0,0,2,0.0,4.26,4,2,2,0,0,0,12.2,12,6,6,2,8,1,9,0,0,0,54,1.579,8.5,1.4,5.7,6.4,1.13,
11.0,David Griffin,27.0,1,2,0.333,17.36,3,0,1,0,0,0,4.2,12,10,9,0,4,0,5,0,0,0,30,3.429,23.1,0.0,7.7,9.6,1.25,
12.0,Carlos Guzman,26.0,0,1,0.0,4.15,6,0,0,0,0,0,8.2,2,6,4,1,10,0,7,1,0,1,41,1.385,2.1,1.0,10.4,7.3,0.7,
13.0,Dom Hamel,25.0,3,7,0.3,6.5,23,23,0,0,0,0,106.2,121,78,77,17,66,0,109,5,2,6,499,1.753,10.2,1.4,5.6,9.2,1.65,
14.0,Grant Hartwig,26.0,4,0,1.0,4.0,24,0,6,0,0,2,27.0,22,14,12,1,15,1,26,4,0,1,123,1.37,7.3,0.3,5.0,8.7,1.73,
15.0,Kolton Ingram*,27.0,1,0,1.0,7.2,4,0,0,0,0,0,5.0,5,4,4,1,6,0,3,2,0,0,27,2.2,9.0,1.8,10.8,5.4,0.5,
16.0,Justin Jarvis,24.0,1,2,0.333,6.25,13,4,1,0,0,0,31.2,41,24,22,6,18,0,26,3,0,2,158,1.863,11.7,1.7,5.1,7.4,1.44,
17.0,Tyler Jay*,30.0,5,1,0.833,2.4,23,1,5,0,0,1,41.1,38,14,11,3,4,0,30,2,0,0,161,1.016,8.3,0.7,0.9,6.5,7.5,
18.0,Max Kranick,26.0,1,1,0.5,3.51,32,3,10,0,0,2,51.1,49,23,20,10,16,1,42,1,0,1,216,1.266,8.6,1.8,2.8,7.4,2.63,
19.0,Nate Lavender*,24.0,0,0,,3.86,5,1,0,0,0,0,7.0,6,3,3,2,7,0,9,0,0,0,34,1.857,7.7,2.6,9.0,11.6,1.29,
20.0,Joey Lucchesi*,31.0,5,6,0.455,4.93,20,17,0,0,0,0,98.2,99,57,54,13,48,0,74,1,3,4,427,1.49,9.0,1.2,4.4,6.8,1.54,
21.0,Trey McLoughlin,25.0,0,0,,0.0,1,0,0,0,0,0,1.0,1,0,0,0,0,0,2,0,0,0,4,1.0,9.0,0.0,0.0,18.0,,
22.0,Tylor Megill,28.0,3,0,1.0,3.15,8,8,0,0,0,0,40.0,32,15,14,3,17,0,54,0,0,1,164,1.225,7.2,0.7,3.8,12.2,3.18,
23.0,Troy Miller,27.0,0,0,,27.0,1,1,0,0,0,0,2.1,7,7,7,3,4,0,3,0,0,0,18,4.714,27.0,11.6,15.4,11.6,0.75,
24.0,Bryce Montes de Oca,28.0,0,0,,7.71,6,0,0,0,0,0,4.2,3,4,4,2,9,0,7,2,0,0,27,2.571,5.8,3.9,17.4,13.5,0.78,
25.0,Luis Moreno,25.0,0,2,0.0,14.29,2,2,0,0,0,0,5.2,6,9,9,0,6,0,7,1,0,2,30,2.118,9.5,0.0,9.5,11.1,1.17,
26.0,Vinny Nittoli,33.0,1,1,0.5,9.82,3,0,1,0,0,0,3.2,4,5,4,1,1,0,3,0,0,0,16,1.364,9.8,2.5,2.5,7.4,3.0,
27.0,Dedniel Núñez,28.0,3,0,1.0,1.29,14,0,5,0,0,2,14.0,8,2,2,0,6,1,21,0,0,0,55,1.0,5.1,0.0,3.9,13.5,3.5,
28.0,Matt O'Neill,26.0,0,0,,0.0,1,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,,
29.0,Eric Orze,26.0,4,1,0.8,3.35,36,0,8,0,0,2,51.0,37,21,19,8,26,0,70,2,0,1,215,1.235,6.5,1.4,4.6,12.4,2.69,
30.0,Hunter Parsons,27.0,0,0,,6.75,5,1,3,0,0,0,6.2,5,5,5,1,8,0,10,0,0,1,33,1.95,6.8,1.4,10.8,13.5,1.25,
31.0,David Peterson*,28.0,1,1,0.5,2.79,2,2,0,0,0,0,9.2,12,4,3,0,2,0,11,1,1,1,43,1.448,11.2,0.0,1.9,10.2,5.5,
32.0,Jawilme Ramirez,22.0,0,0,,0.0,1,0,1,0,0,0,1.0,1,0,0,0,1,0,2,0,0,0,5,2.0,9.0,0.0,9.0,18.0,2.0,
33.0,Wilkin Ramos,23.0,3,2,0.6,6.14,16,0,5,0,0,2,14.2,14,13,10,1,14,2,12,3,0,2,74,1.909,8.6,0.6,8.6,7.4,0.86,
