Rk.,Player,Pitches,Total,Pitch %,1B,2B,HR,SO,K%,BB,BB%,Whiffs,Swings,Downward Movement w/ Gravity (in),Glove/Arm-Side Movement (in),Vertical Movement w/o Gravity (in),Movement Toward/Away from Batter (in),Whiff%,Pitch (MPH),Perceived Velocity,Spin (RPM),Vertical Release Pt (ft),Horizontal Release Pt (ft),Extension (ft),PX (ft),PZ (ft)
1,"Hamel, Dom RHP NYM #15",1994,1994,100.0,77,26,17,109,21.8,66,13.2,221,905,27.6,1.1 ARM,9.0,2.9 AWY,24.4,87.3,87.6,2381,5.88,-1.44,6.5,0.07,2.38
2,"Vasil, Mike RHP NYM #18",1953,1953,100.0,78,25,19,94,18.7,41,8.1,211,913,30.9,3.5 ARM,5.0,0.4 AWY,23.1,87.8,87.5,2273,6.02,-1.45,6.0,0.01,2.46
3,"Lucchesi, Joey LHP",1604,1604,100.0,69,16,13,74,17.3,48,11.2,134,761,31.3,6.1 ARM,7.1,2.3 AWY,17.6,84.9,84.9,2097,6.11,2.48,6.1,0.07,2.48
4,"Tidwell, Blade RHP NYM #8",1115,1115,100.0,33,6,14,54,18.8,43,14.9,119,499,26.1,0.6 GLV,8.9,0.8 AWY,23.8,88.7,89.2,2341,6.39,-1.92,6.5,0.1,2.48
5,"Orze, Eric RHP",847,847,100.0,24,5,8,70,32.6,26,12.1,146,373,32.1,6.8 ARM,4.6,1.8 AWY,39.1,86.6,87.6,1926,6.08,-1.58,6.9,-0.12,2.48
6,"Kranick, Max RHP",753,806,93.4,21,15,9,40,19.8,13,6.4,94,364,26.9,1.2 GLV,8.3,0.1 TWD,25.8,88.7,89.3,2178,5.95,-2.02,6.5,0.06,2.64
7,"Buttó, José RHP",723,723,100.0,24,7,4,38,20.7,17,9.2,88,310,30.1,2.9 ARM,5.3,1.2 AWY,28.4,88.2,88.1,2287,5.44,-2.57,6.1,-0.18,2.28
8,"Scott, Christian RHP",688,688,100.0,17,2,10,55,33.5,12,7.3,103,340,25.5,2.4 ARM,9.5,2.3 AWY,30.3,88.8,89.9,2234,5.35,-2.86,6.8,0.15,2.5
9,"Megill, Tylor RHP",658,658,100.0,23,5,3,54,32.9,17,10.4,94,307,25.3,3.7 ARM,8.4,0.4 TWD,30.6,90.5,92.1,2086,5.96,-1.9,7.2,0.17,2.25
10,"Jay, Tyler LHP",560,713,78.5,28,7,3,30,18.6,4,2.5,50,275,30.1,1.2 ARM,6.8,1.8 AWY,18.2,86.5,86.2,2051,5.59,2.74,6.0,-0.23,2.39
11,"Ríos, Yacksel RHP",552,552,100.0,15,8,2,30,22.2,22,16.3,77,248,20.9,5.1 ARM,11.8,1.1 TWD,31.0,92.0,92.2,1933,5.95,-1.11,6.4,-0.01,2.25
12,"Jarvis, Justin RHP",547,547,100.0,19,10,6,22,15.7,16,11.4,49,260,23.6,0.8 ARM,11.9,0.9 AWY,18.8,88.3,88.8,2138,5.96,-2.72,6.6,0.13,2.45
13,"Walker, Josh LHP",530,556,95.3,13,1,2,39,32.5,19,15.8,96,248,24.3,0.3 ARM,10.8,1.0 AWY,38.7,88.9,90.4,2183,6.38,2.64,7.1,-0.21,2.73
14,"Sulser, Cole RHP",486,619,78.5,10,2,4,34,28.1,16,13.2,74,223,25.3,7.0 ARM,10.4,2.1 AWY,33.2,87.6,88.1,2073,5.96,-1.72,6.5,0.2,2.3
15,"Hartwig, Grant RHP",480,518,92.7,14,5,1,26,21.3,14,11.5,42,202,30.6,2.9 ARM,3.9,0.6 AWY,20.8,89.5,88.9,2284,4.96,-1.97,5.9,0.03,2.33
16,"Fujinami, Shintaro RHP",454,460,98.7,6,2,2,24,23.3,28,27.2,52,157,23.1,7.4 ARM,8.3,2.1 AWY,33.1,93.6,94.6,1886,5.68,-2.1,6.8,-0.21,2.13
17,"Duplantier, Jon RHP",417,568,73.4,15,5,2,22,21.6,22,21.6,49,167,24.7,1.8 ARM,9.8,2.2 AWY,29.3,89.4,90.7,2349,5.74,-1.82,7.0,0.16,2.44
18,"Young, Danny LHP",267,267,100.0,6,2,0,22,33.8,11,16.9,35,99,37.7,3.5 GLV,1.7,1.4 TWD,35.4,84.2,83.5,2580,5.26,3.61,5.9,-0.12,2.02
