Player,Pitches,1B,2B,HR,SO,K%,BB,BB%,Whiffs,Swings,Downward Movement w/�Gravity (in),Glove/Arm-Side Movement (in),Vertical Movement w/o�Gravity (in),Movement Toward/Away from Batter (in),Whiff%,Pitch (MPH),Perceived Velocity,Spin (RPM),Vertical Release�Pt (ft),Horizontal Release�Pt (ft),Extension (ft),PX (ft),PZ (ft),Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,IBB,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
"Adcock, Ty RHP",250,16,3,1,15,22.1,7,10.3,31,131,24.6,0.1 GLV,8.5,0.1 TWD,23.7,91.2,91.3,2185,6.11,-1.69,6.2,0.0,2.37,27.0,2,0,1.0,3.21,13,0,7,0,0,3,14.0,20,7,5,0,0,0,1,68,1.929,12.9,0.6,4.5,9.6,2.14
"Buttó, José RHP",723,24,7,4,38,20.7,17,9.2,88,310,30.1,2.9 ARM,5.3,1.2 AWY,28.4,88.2,88.1,2287,5.44,-2.57,6.1,-0.18,2.28,26.0,5,2,0.714,3.05,8,8,0,0,0,0,44.1,36,16,15,0,2,0,2,185,1.218,7.3,0.8,3.7,7.7,2.11
"Castaneda, Victor RHP",58,2,3,0,0,0.0,4,30.8,2,22,32.7,4.8 GLV,8.3,3.6 AWY,9.1,82.1,82.0,2145,5.54,-0.62,6.1,-0.24,2.7,25.0,0,0,,33.75,1,0,0,0,0,0,1.1,5,5,5,0,0,0,0,13,6.75,33.8,0.0,27.0,0.0,0.0
"Colon, Jeffrey RHP",69,4,0,0,2,11.8,6,35.3,6,29,29.3,12.1 ARM,3.9,2.2 TWD,20.7,90.9,90.8,2325,5.69,-1.91,6.2,0.02,2.02,24.0,0,0,,22.5,2,0,1,0,0,0,2.0,4,5,5,0,1,0,2,17,5.0,18.0,0.0,27.0,9.0,0.33
"Duplantier, Jon RHP",417,15,5,2,22,21.6,22,21.6,49,167,24.7,1.8 ARM,9.8,2.2 AWY,29.3,89.4,90.7,2349,5.74,-1.82,7.0,0.16,2.44,29.0,3,1,0.75,5.31,16,0,5,0,0,0,20.1,22,12,12,0,2,0,2,102,2.164,9.7,0.9,9.7,9.7,1.0
"Festa, Matt RHP",225,7,3,1,19,32.2,3,5.1,38,118,29.3,6.9 GLV,7.2,4.5 AWY,32.2,86.6,86.9,2540,5.04,-2.14,6.3,0.32,2.57,31.0,1,0,1.0,1.76,11,0,2,0,0,0,15.1,11,3,3,0,1,0,1,59,0.913,6.5,0.6,1.8,11.2,6.33
"Fujinami, Shintaro RHP",454,6,2,2,24,23.3,28,27.2,52,157,23.1,7.4 ARM,8.3,2.1 AWY,33.1,93.6,94.6,1886,5.68,-2.1,6.8,-0.21,2.13,30.0,1,1,0.5,7.17,20,0,6,0,0,1,21.1,10,20,17,0,3,1,5,103,1.781,4.2,0.8,11.8,10.1,0.86
"Gage, Matt LHP",196,9,3,1,15,30.0,4,8.0,33,98,29.7,2.1 GLV,6.6,2.8 AWY,33.7,87.2,87.3,2167,6.54,2.02,6.3,-0.24,2.38,31.0,0,0,,5.73,12,0,7,0,0,5,11.0,13,7,7,0,0,0,1,50,1.545,10.6,0.8,3.3,12.3,3.75
"Garrett, Reed RHP",54,1,1,0,7,58.3,1,8.3,9,21,26.7,3.4 ARM,6.7,0.0 AWY,42.9,90.4,90.6,2107,5.86,-2.16,6.2,0.05,2.05,31.0,0,0,,0.0,2,0,0,0,0,0,3.0,2,0,0,0,0,0,0,12,1.0,6.0,0.0,3.0,21.0,7.0
"Geber, Jordan RHP",208,7,3,2,9,17.0,7,13.2,25,102,26.4,0.4 ARM,9.7,1.1 AWY,24.5,87.3,87.6,2257,5.49,-1.01,6.4,0.03,2.32,24.0,0,2,0.0,4.26,4,2,2,0,0,0,12.2,12,6,6,1,0,0,0,54,1.579,8.5,1.4,5.7,6.4,1.13
"Griffin, David RHP",116,11,1,0,5,16.7,4,13.3,9,57,27.7,5.8 ARM,9.2,2.4 AWY,15.8,86.7,87.2,2127,5.11,-3.01,6.7,0.06,2.39,27.0,1,2,0.333,17.36,3,0,1,0,0,0,4.2,12,10,9,0,0,0,0,30,3.429,23.1,0.0,7.7,9.6,1.25
"Guzman, Carlos RHP",180,0,1,1,7,17.1,10,24.4,19,80,23.9,3.5 ARM,10.2,0.2 TWD,23.8,90.0,90.6,2331,5.52,-2.47,6.7,0.38,2.29,26.0,0,1,0.0,4.15,6,0,0,0,0,0,8.2,2,6,4,0,1,0,1,41,1.385,2.1,1.0,10.4,7.3,0.7
"Hamel, Dom RHP NYM #15",1994,77,26,17,109,21.8,66,13.2,221,905,27.6,1.1 ARM,9.0,2.9 AWY,24.4,87.3,87.6,2381,5.88,-1.44,6.5,0.07,2.38,25.0,3,7,0.3,6.5,23,23,0,0,0,0,106.2,121,78,77,0,5,2,6,499,1.753,10.2,1.4,5.6,9.2,1.65
"Hartwig, Grant RHP",480,14,5,1,26,21.3,14,11.5,42,202,30.6,2.9 ARM,3.9,0.6 AWY,20.8,89.5,88.9,2284,4.96,-1.97,5.9,0.03,2.33,26.0,4,0,1.0,4.0,24,0,6,0,0,2,27.0,22,14,12,1,4,0,1,123,1.37,7.3,0.3,5.0,8.7,1.73
"Ingram, Kolton LHP",102,4,0,1,3,11.1,6,22.2,3,34,30.7,3.8 GLV,6.1,0.8 AWY,8.8,86.3,86.9,2515,5.38,1.43,6.5,-0.11,2.34,27.0,1,0,1.0,7.2,4,0,0,0,0,0,5.0,5,4,4,0,2,0,0,27,2.2,9.0,1.8,10.8,5.4,0.5
"Jarvis, Justin RHP",547,19,10,6,22,15.7,16,11.4,49,260,23.6,0.8 ARM,11.9,0.9 AWY,18.8,88.3,88.8,2138,5.96,-2.72,6.6,0.13,2.45,24.0,1,2,0.333,6.25,13,4,1,0,0,0,31.2,41,24,22,0,3,0,2,158,1.863,11.7,1.7,5.1,7.4,1.44
"Jay, Tyler LHP",560,28,7,3,30,18.6,4,2.5,50,275,30.1,1.2 ARM,6.8,1.8 AWY,18.2,86.5,86.2,2051,5.59,2.74,6.0,-0.23,2.39,30.0,5,1,0.833,2.4,23,1,5,0,0,1,41.1,38,14,11,0,2,0,0,161,1.016,8.3,0.7,0.9,6.5,7.5
"Kranick, Max RHP",753,21,15,9,40,19.8,13,6.4,94,364,26.9,1.2 GLV,8.3,0.1 TWD,25.8,88.7,89.3,2178,5.95,-2.02,6.5,0.06,2.64,26.0,1,1,0.5,3.51,32,3,10,0,0,2,51.1,49,23,20,1,1,0,1,216,1.266,8.6,1.8,2.8,7.4,2.63
"Lavender, Nate LHP",143,4,0,2,9,26.5,7,20.6,15,55,28.5,6.6 ARM,11.5,5.2 AWY,27.3,83.4,85.2,1928,5.28,1.61,7.4,-0.01,2.38,24.0,0,0,,3.86,5,1,0,0,0,0,7.0,6,3,3,0,0,0,0,34,1.857,7.7,2.6,9.0,11.6,1.29
"Lucchesi, Joey LHP",1604,69,16,13,74,17.3,48,11.2,134,761,31.3,6.1 ARM,7.1,2.3 AWY,17.6,84.9,84.9,2097,6.11,2.48,6.1,0.07,2.48,31.0,5,6,0.455,4.93,20,17,0,0,0,0,98.2,99,57,54,0,1,3,4,427,1.49,9.0,1.2,4.4,6.8,1.54
"McLoughlin, Trey RHP",20,0,1,0,2,50.0,0,0.0,3,10,30.0,0.4 GLV,6.8,0.4 AWY,30.0,86.4,88.3,1384,5.83,-0.14,7.4,0.33,2.39,25.0,0,0,,0.0,1,0,0,0,0,0,1.0,1,0,0,0,0,0,0,4,1.0,9.0,0.0,0.0,18.0,
"Megill, Tylor RHP",658,23,5,3,54,32.9,17,10.4,94,307,25.3,3.7 ARM,8.4,0.4 TWD,30.6,90.5,92.1,2086,5.96,-1.9,7.2,0.17,2.25,28.0,3,0,1.0,3.15,8,8,0,0,0,0,40.0,32,15,14,0,0,0,1,164,1.225,7.2,0.7,3.8,12.2,3.18
"Miller, Troy RHP",72,1,3,3,3,16.7,4,22.2,7,31,30.4,2.8 ARM,7.3,2.3 AWY,22.6,85.7,86.2,1914,6.02,-1.21,6.4,0.06,2.49,27.0,0,0,,27.0,1,1,0,0,0,0,2.1,7,7,7,0,0,0,0,18,4.714,27.0,11.6,15.4,11.6,0.75
