Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2024,2024.1,2024.2,2024.3,2024.4,2024.5,2024.6,2024.7,2024.8,2024.9,2024.10,2024.11,2024.12,2024.13,2024.14,2024.15,2024.16
Player,Age,Ht.,Wt.,Lvl.,Org,BB/9,K/9,GB%,SwSt%,FIP,BF,G,GS,IP,H,HR,ER,BB,K,GO/AO,ERA,WHIP
Casey Lawrence,36,"6' 0""",180,AAA,SEA,2.8,5.9,38%,10.6%,5.76,613,24,24,137.2,166,30,92,42,90,0.97,6.01,1.51
Michael McGreevy,24,"6' 4""",220,AAA,STL,2.8,7.9,46%,10.1%,3.78,569,24,24,133.0,136,14,61,41,117,0.72,4.13,1.33
Thomas Pannone,30,"6' 0""",209,AAA,NYY,2.5,8.4,-,-,4.14,542,26,26,127.2,136,18,52,35,119,1.05,3.67,1.34
Joel Hurtado,23,"6' 2""",180,A+,LAA,5.4,8.8,44%,13.0%,4.03,553,23,23,121.0,122,6,62,73,118,0.82,4.61,1.61
Hancel Rincon,22,"6' 2""",160,A+,STL,3.4,6.9,32%,9.3%,4.24,508,22,22,120.2,111,12,50,45,92,1.73,3.73,1.29
Daniel Lynch IV,27,"6' 6""",200,AAA,KC,2.4,7.2,45%,10.8%,4.10,494,21,21,119.1,117,15,47,32,95,0.78,3.54,1.25
Ryan Gusto,25,"6' 4""",232,AAA,HOU,3.5,8.6,42%,10.1%,3.91,511,24,21,119.0,117,12,55,46,114,1.48,4.16,1.37
Avery Short,23,"6' 1""",205,A+,AZ,2.6,8.1,52%,12.3%,3.55,485,22,21,118.1,102,10,45,34,106,0.82,3.42,1.15
Pete Hansen,24,"6' 2""",205,A+,STL,2.7,9.3,43%,9.8%,3.13,507,22,22,118.1,125,8,50,35,122,1.23,3.80,1.35
Edgar Barclay,26,"5' 10""",200,AAA,NYY,4.7,7.7,30%,15.9%,6.09,540,24,24,117.2,126,26,83,61,100,1.38,6.35,1.59
Jhonathan Diaz,27,"6' 0""",170,AAA,SEA,3.8,9.2,57%,11.1%,3.76,517,22,21,117.1,117,9,52,50,120,0.63,3.99,1.42
Joe Rock,24,"6' 6""",200,AAA,TB,2.4,8.2,42%,15.0%,3.90,513,23,20,116.2,133,14,58,31,106,0.93,4.47,1.41
Chad Patrick,26,"6' 1""",205,AAA,MIL,2.6,8.8,33%,15.2%,3.95,478,22,20,116.1,98,15,39,34,114,1.48,3.02,1.13
Caleb Boushley,30,"6' 3""",190,AAA,MIN,1.6,7.3,38%,7.9%,4.14,489,22,22,116.0,131,18,64,20,94,1.43,4.97,1.30
Carson Seymour,25,"6' 6""",260,AAA,SF,3.9,8.9,54%,9.9%,4.77,510,25,24,114.1,132,18,63,49,113,0.60,4.96,1.58
Adrian Sampson,32,"6' 2""",210,AAA,TEX,2.7,7.7,41%,8.7%,4.65,521,23,23,113.0,142,17,73,34,96,1.25,5.81,1.56
Mike Vasil,24,"6' 5""",225,AAA,NYM,3.3,7.5,40%,9.0%,5.17,504,24,22,112.2,125,19,71,41,94,0.81,5.67,1.47
